功法,,,血脉,,,奇物,,
开碑神行法,1,10,太阴法身,1,10,碧银扇,1,10
化魂功,1,10,太阳法身,1,10,伏神银鞭,1,10
内景御风术,1,10,太元灵兔血,1,10,璇玑弩,1,10
锁仙天枢法,1,10,归元体,1,10,如意镖,1,10
天魔心法,1,10,小欢喜身,1,10,伏仙盘,1,10
紫霞擒拿手,1,10,阴阳离合身,1,10,神火袋,1,10
哀牢心诀,1,10,灭魂身,1,10,照神竹旗,1,10
玄龟枪,2,20,烬魂身,2,20,黑铁剑,2,20
灵悟神法,2,20,钛机体,2,20,黑木索,2,20
灵宝步法,2,20,罗刹禅音体,2,20,白银弓,2,20
西域绝技,2,20,五阳连环体,2,20,戮仙钩,2,20
迷仙心法,2,20,金玉身,2,20,擒龙玉爪,2,20
照神龙虎决,2,20,飞云琼花体,2,20,灰铁梭,2,20
听雪气,2,20,百鬼束魂体,2,20,青石戟,2,20
混元指,3,30,五鬼五衰体,3,30,碧水晶玺,3,30
一气绝技,3,30,玄天空明体,3,30,少阳斧,3,30
定海光心法,3,30,烛龙血脉,3,30,碧骨棍,3,30
玄冰神功,3,30,菩提血脉,3,30,崆峒锁,3,30
素问内功,3,30,十方荡魔身,3,30,乌金弩,3,30
混天步,3,30,摘星体,3,30,玄微玉戈,3,30
沛然心法,3,30,不死不灭身,3,30,诛仙梭,3,30
养魂结丹法,4,40,照神源血,4,40,白晶钩,4,40
勾魂百灵气,4,40,星空自在体,4,40,暗玉骰,4,40
九龙神行法,4,40,苍穹血脉,4,40,黑银戟,4,40
青莲花神术,4,40,玄宇诛神体,4,40,赤水晶葫芦,4,40
素女涅槃决,4,40,落阳雷火身,4,40,碧金环,4,40
璇玑周天法,4,40,戮神风火体,4,40,荡魔琉璃镯,4,40
万刃导引术,4,40,昆吾血脉,4,40,青竹绫,4,40
荡魔星女功,5,50,金刚不灭体,5,50,绝仙剑,5,50
落魂神行法,5,50,轩辕八卦体,5,50,白玉钩,5,50
修罗身,5,50,太极如意身,5,50,沛然盾,5,50
地宝心法,5,50,万仙体,5,50,大成银葫芦,5,50
青云锁天爪,5,50,玉清一元身,5,50,碧铁斧,5,50
一气禹余,5,50,灵悟琉璃体,5,50,幻梦仙鼓,5,50
太一吐纳术,5,50,完美变体,5,50,赤铁棍,5,50
若愚轻身术,6,60,无机变异体,6,60,乌水晶盘,6,60
玄冥照天决,6,60,二维身,6,60,玲珑印,6,60
风火百魔诀,6,60,五维体,6,60,墨水晶弓,6,60
东海轻身术,6,60,圣恩血脉,6,60,子母葫芦,6,60
万仙神行法,6,60,机皇体,6,60,诛妖黑金镜,6,60
虚空步,6,60,虚空法身,6,60,灭道圣印,6,60
散形决,6,60,天道法身,6,60,黑羽大帝,6,60
